Course Name,Course Code
Work safely in autonomous environments ,RIIARO301
Work safely with remotely piloted aircraft systems ,RIIARO302
Operate equipment in autonomous environments ,RIIARO303
Coordinate and interact with autonomous systems ,RIIARO304
Build and maintain rout es for autonomous operations ,RIIARO305
Respond to obstructio ns to autonomous operations ,RIIARO306
Activate and deac tivate autonomous systems ,RIIARO307
Supervise autonomous operations ,RIIARO401
Plan and organise work ,RIIBEF201D
Plan and organise work ,RIIBEF201E
Identify and rectify site operating problems ,RIIBEF202E
Run on-site operations ,RIIBEF301D
Monitor site production activities ,RIIBEF302E
Manage non-routine and complex technical situations ,RIIBEF401E
Supervise on-site operations ,RIIBEF402D
Conduct business negotiations ,RIIBEF601E
Establish and evaluate operational performance management systems ,RIIBEF602E
Conduct a feasibility study ,RIIBEF604E
Conduct surface blas t hole drilling operations ,RIIBHD301E
Conduct underground development drilling ,RIIBHD302E
Conduct long hole drilling ,RIIBHD303E
Supervise blast hole drilling operations ,RIIBHD401D
Support shotfiring operations ,RIIBLA201E
Support underground shotfiring operations ,RIIBLA202F
Conduct mobile mixing of explosives ,RIIBLA203E
"Store, handle and transport explosives in underground coal mines ",RIIBLA204E
"Store, handle and transport explosives ",RIIBLA205D
"Store, handle and transport explosives ",RIIBLA205E
Conduct surface shotfiring operations ,RIIBLA301D
Conduct surface shotfiring operations ,RIIBLA301E
Conduct shotfiring operations in underground coal mines ,RIIBLA302D
Conduct shotfiring operations in underground coal mines ,RIIBLA302E
Conduct underground development shotfiring ,RIIBLA303D
Conduct underground development shotfiring ,RIIBLA303E
Conduct underground production shotfiring ,RIIBLA304D
Conduct underground production shotfiring ,RIIBLA304E
Conduct secondary blasting ,RIIBLA305D
Conduct secondary blasting ,RIIBLA305E
Conduct a blast survey ,RIIBLA307E
Manage blasting operations ,RIIBLA401E
Monitor and control the effects of blasting on the environment ,RIIBLA402D
Monitor and control the effects of blasting on the environment ,RIIBLA402E
Design blasts ,RIIBLA403
Establish and ma intain a blasting system ,RIIBLA602D
Establish and main tain explosives safety and security management systems ,RIIBLA602E
Rehabilita te exploration site ,RIICAR301D
Rehabilitate small mine site ,RIICAR302D
Strip pile heads ,RIICBM201E
Maintain concrete bridges ,RIICBM301E
Install pre-cast girders ,RIICBM302E
Install pre-cast parapets ,RIICBM303E
Operate bridge inspection units ,RIICBM304E
Install pre-cast  concrete bridge decks ,RIICBM305E
Undertake concreting work on concrete bridges ,RIICBM306E
Construct formwork and false work on concrete bridges ,RIICBM307E
Hand spread asphalt ,RIICBS202E
Safely handle bituminous materials ,RIICBS203D
Safely handle bituminous materials ,RIICBS203E
Take samples of road surfacing materials ,RIICBS207E
Conduct profile planer operations ,RIICBS301E
Conduct paver screeding operations ,RIICBS302E
Conduct materials transfer vehicle operations ,RIICBS303E
Compact asphalt with rollers ,RIICBS304E
Conduct asphalt paver operation ,RIICBS305E
Conduct micr o surfacing operations ,RIICBS306E
Conduct bitumen sprayer operations ,RIICBS307E
Load aggregate using purpose built loaders ,RIICBS308E
Conduct self-propelled aggregate spreader operations ,RIICBS309E
Conduct patching operations ,RIICBS310E
Produce asphalt products ,RIICBS311E
Conduct bitumen tanker operations ,RIICBS312E
Conduct tack coat spraying operations ,RIICBS313
Conduct aggregate spreader box operations ,RIICBS314
Roll aggregate in sprayed sealing operations ,RIICBS315
Conduct pavement sweeping operations ,RIICBS316
Conduct road maintenance operations ,RIICBS317
Supervise asphalt pavi ng and compaction operations ,RIICBS401E
Supervise the application of bituminous sprayed treatments ,RIICBS402E
Supervise the applicat ion of polymer modified binders ,RIICBS403E
Supervise the selection and use of bituminous emulsions ,RIICBS404E
Supervise micr o surfacing operations ,RIICBS405E
Supervise pavement prof iling operations using a profiler ,RIICBS406E
Supervise the manufacture and delivery of hot mix asphalt ,RIICBS407E
Supervise the manufacture of cold mixes ,RIICBS408E
Supervise the manufacture of polymer modified binders ,RIICBS409E
Supervise the manufacture of bituminous emulsions ,RIICBS410E
Supervise the manufacture of micro surfacing mixes ,RIICBS411E
Carry out measurements and calculations ,RIICCM201D
Carry out measurements and calculations ,RIICCM201E
"Identify, locate and protect underground services ",RIICCM202E
Read and interpret plans and job specifications ,RIICCM203D
Read and interpret plans and job specifications ,RIICCM203E
Place and fix reinforcement materials ,RIICCM204E
Carry out manual excavation ,RIICCM205E
Carry out manual excavation ,RIICCM205F
Support plant operations ,RIICCM206D
Support plant operations ,RIICCM206E
Spread and co mpact materials manually ,RIICCM207D
Spread and compact materials manually ,RIICCM207E
Carry out basic levelling ,RIICCM208D
Carry out basic levelling ,RIICCM208E
Carry out concrete work ,RIICCM209D
Carry out concrete work ,RIICCM209E
Install trench support ,RIICCM210D
Install trench support ,RIICCM210E
Construct and di smantle fences and gates ,RIICCM211E
Track directional boring operations ,RIICCM302
Conduct vacuum excavations ,RIICCM303
Develop and maintain  positive community relations ,RIICCR401E
Manage customer relationships ,RIICCR601D
Construct underpinning ,RIICFW301E
Install temporary and permanent rock anchors ,RIICFW302E
Install primary ground supports ,RIICFW303E
Conduct pile driving operations ,RIICFW304E
Conduct cast in -situ pilings operations ,RIICFW305E
Direct pile driving operations ,RIICFW306E
Direct cast in-situ piling operations ,RIICFW307E
Conduct screw piling operations ,RIICFW308
Communicate in the workplace ,RIICOM201D
Communicate in the workplace ,RIICOM201E
Communicate information ,RIICOM301D
Communicate information ,RIICOM301E
Install water mains pipelines ,RIICPL301D
Install water mains pipelines ,RIICPL301E
Install stormwater systems ,RIICPL302D
Install stormwater systems ,RIICPL302E
Install sewer pipelines ,RIICPL303D
Install sewer pipelines ,RIICPL303E
Install pre-cast gully pits ,RIICPL304D
Install pre-cast gully pits ,RIICPL304E
Install pre-cast access chambers ,RIICPL305E
Supervise the installation of underground services using open excavation ,RIICPL401E
Repair potholes ,RIICRC201D
Repair potholes ,RIICRC201E
Install signs ,RIICRC202E
Install sub-soil drainage ,RIICRC203D
Install sub-soil drainage ,RIICRC203E
Install and main tain roadside fixtures ,RIICRC204E
Install utility poles ,RIICRC205E
Install pre-cast concrete crash barriers ,RIICRC206E
Install noise barriers ,RIICRC207E
Lay pipes ,RIICRC208D
Lay pipes ,RIICRC208E
Lay reinforced concrete box culverts ,RIICRC209E
Maintain drainage systems ,RIICRC301E
"Place and form concrete kerb, channel and fixtures ",RIICRC302E
Lay pavers ,RIICRC303E
Maintain sealed roads ,RIICRC304E
Conduct road construc tion paver screeding operations ,RIICRC305E
Conduct earthworks ,RIICRC306E
Conduct road pavement construction ,RIICRC307E
Conduct paver operations ,RIICRC308E
Conduct st abiliser operations ,RIICRC309D
Conduct st abiliser operations ,RIICRC309E
Construct and maintain roads ,RIICRC310E
Conduct concrete road paver operations ,RIICRC311D
Conduct concrete road paver operations ,RIICRC311E
Setup and maintain concrete paver stringlines ,RIICRC312D
Set up and maintain concrete paver stringlines ,RIICRC312E
Conduct concrete road curing and texturing operations ,RIICRC313D
Conduct concrete road curing and texturing operations ,RIICRC313E
Handle concrete materials ,RIICRC314D
Handle concrete materials ,RIICRC314E
Use concreting materials and equipment ,RIICRC315D
Use concreting materials and equipment ,RIICRC315E
Place an d compact concrete ,RIICRC316D
Place an d compact concrete ,RIICRC316E
Finish concrete pavements ,RIICRC317D
Finish concrete pavements ,RIICRC317E
Cure concrete ,RIICRC318D
Cure concrete ,RIICRC318E
Saw and cut concrete pavements to initiate planned cracks ,RIICRC319D
Saw and cut concrete pave ments to initiate planned cracks ,RIICRC319E
Seal concrete pavements ,RIICRC320D
Seal concrete pavements ,RIICRC320E
Use automated paving guidance systems ,RIICRC321D
Use automated paving guidance systems ,RIICRC321E
"Receive, check and record concrete deliveries ",RIICRC322D
"Receive, check and record concrete deliveries ",RIICRC322E
Insert tie bars in fresh concrete ,RIICRC323D
Insert tie bars in fresh concrete ,RIICRC323E
Supervise flexible pavement construction ,RIICRC401E
Supervise rigid pavement construction ,RIICRC402E
Supervise the st abilisation of materials ,RIICRC403E
Inspect and report on pavement condition ,RIICRC404E
Carry out pavement condition measurement ,RIICRC405E
Supervise pavement maintenance ,RIICRC406E
Escort mobile works ,RIICRM201F
Handle and store road marking materials ,RIICRM202E
Conduct pedestrian road marking operations ,RIICRM203E
Prepare surfaces for road marking ,RIICRM204E
Conduct road ma rking measuring operations ,RIICRM205E
Conduct airless and atomised spraying operations ,RIICRM206E
Install rais ed pavement markers ,RIICRM207E
Conduct ride on road marking operations ,RIICRM301E
Conduct long line road marking operations ,RIICRM302E
Conduct thermo plas tic road marking operations ,RIICRM303E
Supervise civil concrete structure construction ,RIICSG401E
Supervise civil steel structure construction ,RIICSG402E
Supervise civil timber structure construction ,RIICSG403E
"Supervise civil masonry, crib and gabion structure construction ",RIICSG404E
Carry out inspections of civil structures ,RIICSG405E
Supervise maintenance of civil structures ,RIICSG406E
Maintain timber bridges ,RIICTB201E
